English,Hungarian
you,te
i,én
the,a
to,nak nek
a,A
it,azt
and,és
that,hogy
of,"nak,-nek"
is,az
in,ban ben
what,mit
we,mi
me,nekem
this,ez
he,ő
for,-ra
my,az én
on,tovább
have,van
your,a te
do,csinál
was,volt
no,nem
not,nem
be,lenni
are,vannak
don,Don
know,tud
can,tud
with,val vel
but,de
all,minden
so,így
just,éppen
there,ott
here,itt
they,ők
like,mint
get,kap
she,ő
go,megy
if,ha
right,jobb
out,ki
about,ról ről
up,fel
at,nál nél
him,neki
now,Most
oh,OH
one,egy
come,jön
well,jól
her,neki
how,hogyan
yeah,igen
will,akarat
got,kapott
want,akar
think,gondol
as,mint
see,lát
did,csinált
good,jó
who,WHO
why,miért
from,tól től
let,enged
his,övé
yes,Igen
when,amikor
going,haladó
time,idő
an,egy
okay,oké
back,vissza
look,néz
us,minket
would,lenne
them,őket
where,ahol
were,voltak
take,vesz
then,akkor
had,volt
or,vagy
been,már
our,a miénk
gonna,fog
tell,Mondd
really,igazán
man,Férfi
some,néhány
say,mond
hey,Hé
could,tudott
didn,nem
by,által
need,szükség
something,valami
has,van
too,is
more,több
way,út
down,le-
make,készít
very,nagyon
never,soha
only,csak
people,emberek
over,felett
because,mert
little,kis
please,kérem
love,szerelem
should,kellene
mean,átlagos
said,mondott
sorry,sajnálom
give,adni
off,ki
am,AM
thank,köszönet
any,Bármi
two,kettő
even,még
much,sokkal
doing,cselekedet
sure,biztos
thing,dolog
these,ezek
help,Segítség
first,első
into,-ba
anything,bármi
still,még mindig
find,megtalálja
life,élet
nothing,semmi
sir,uram
day,nap
god,Isten
work,munka
their,az övék
uh,uh
again,újra
maybe,talán
must,kell
before,előtt
other,Egyéb
wait,várjon
stop,állj meg
call,hívás
after,után
won,nyerte
talk,beszélgetés
away,el
than,mint
thought,gondolat
home,itthon
night,éjszaka
put,elhelyez
great,nagy
those,azok
last,utolsó
better,jobb
everything,minden
told,mondta
mr.,úr.
new,új
things,dolgok
always,mindig
keep,tart
long,hosszú
years,évek
leave,elhagy
does,csinál
money,pénz
around,körül
doesn,nem
name,név
place,hely
ever,valaha
feel,érez
guys,srácok
father,apa
guy,fickó
made,készült
old,régi
isn,ISN
which,melyik
big,nagy
done,Kész
hello,Helló
nice,szép
believe,hinni
girl,lány
someone,valaki
fine,bírság
thanks,Kösz
wanted,vágyó
kind,kedves
coming,eljövetel
house,ház
every,minden
ok,rendben
through,keresztül
being,lény
course,tanfolyam
stay,marad
left,bal
dad,apu
enough,elég
happened,történt
came,jött
may,lehet
mother,anya
wrong,rossz
world,világ
bad,rossz
might,esetleg
three,három
today,Ma
listen,hallgat
another,egy másik
understand,megért
hear,hall
remember,emlékezik
ask,kérdez
own,saját
same,azonos
show,előadás
else,más
kill,megöl
talking,beszél
found,megtalált
next,következő
getting,szerzés
care,gondoskodás
car,autó
looking,kinézetű
son,fiú
try,próbáld ki
woman,nő
went,elment
hi,Szia
dead,halott
many,sok
mind,ész
wasn,volt
friend,barát
mom,anya
hell,pokol
morning,reggel
trying,megpróbálja
boy,fiú
together,együtt
yourself,saját magad
job,munka
saw,fűrész
family,család
real,igazi
without,nélkül
baby,baba
room,szoba
wouldn,nem tenné
already,már
move,mozog
most,a legtöbb
seen,látott
live,élő
miss,hiányzik
actually,tulajdonképpen
huh,Hát
shit,szar
both,mindkét
heard,hallott
once,egyszer
ready,kész
head,fej
called,hívott
used,használt
idea,ötlet
knew,tudta
hold,tart
happy,boldog
door,ajtó
such,ilyen
fuck,baszd
brother,fiú testvér
also,is
pretty,szép
bit,bit
took,vett
haven,menedék
yet,még
men,férfiak
whole,egész
start,Rajt
use,használat
while,míg
since,mivel
wife,feleség
days,napok
guess,Találd ki
tomorrow,holnap
matter,ügy
meet,találkozik
bring,hoz
tonight,ma este
everyone,mindenki
run,fuss
wanna,akarok
hard,kemény
ah,AH
alone,egyedül
myself,magamat
school,iskola
gone,elmúlt
um,um
saying,mondás
phone,telefon
play,játék
looks,kinézet
couldn,nem tudott
fucking,kibaszott
problem,probléma
few,kevés
friends,barátok
gotta,Kell
ago,ezelőtt
open,nyisd ki
anyone,bárki
killed,megölt
hope,remény
face,arc
until,amíg
lost,elveszett
police,rendőrség
excuse,mentség
turn,fordulat
business,üzleti
case,ügy
wants,akar
says,mond
true,igaz
die,meghal
heart,szív
soon,hamar
each,minden egyes
worry,aggodalom
later,a későbbiekben
year,év
watch,néz
music,zene
hand,kéz
having,ha
probably,valószínűleg
beautiful,gyönyörű
doctor,orvos
sit,ül
eat,eszik
thinking,gondolkodás
young,fiatal
second,második
working,dolgozó
water,víz
person,személy
part,rész
kids,gyerekek
late,késő
stuff,dolog
exactly,pontosan
under,alatt
death,halál
minute,perc
pay,fizetés
crazy,őrült
forget,elfelejt
everybody,mindenki
kid,kölyök
change,változás
gave,adott
happen,történik
damn,átkozott
five,öt
drink,ital
far,messze
knows,tud
its,az
whatever,tök mindegy
eyes,szemek
shut,bezár
aren,aréna
hit,találat
taking,bevétel
easy,könnyen
times,idő
check,jelölje be
hands,keze
minutes,percek
deal,üzlet
different,különböző
means,eszközök
point,pont
inside,belül
makes,készít
asked,kérdezte
somebody,valaki
mine,enyém
making,készítés
body,test
afraid,félelmetes
sleep,alvás
chance,véletlen
dear,kedves
quite,egészen
four,négy
anyway,akárhogyan is
close,Bezárás
ain,ain
party,buli
fun,szórakozás
against,ellen
word,szó
comes,jön
important,fontos
set,készlet
shall,fog
story,sztori
number,szám
daughter,lánya
least,legkevésbé
waiting,várakozás
hurt,sért
wish,szeretnék
moment,pillanat
fight,harc
week,hét
husband,férj
girls,lányok
rest,pihenés
married,házas
fire,Tűz
game,"játszma, meccs"
nobody,senki
mr,úr
children,gyermekek
side,oldal
stand,állvány
read,olvas
though,bár
cut,vágott
started,elindult
sister,nővér
supposed,feltételezett
between,között
child,gyermek
goes,elmegy
hours,órák
speak,beszél
women,nők
behind,mögött
almost,majdnem
truth,igazság
able,képes
lady,hölgy
anymore,többé
playing,játék
gets,kap
shot,lövés
reason,ok
trouble,baj
break,szünet
war,háború
city,város
walk,séta
town,város
trust,bizalom
dr.,dr.
met,találkozott
office,hivatal
question,kérdés
brought,hozott
yours,a tiéd
welcome,Üdvözöljük
high,magas
wow,Azta
couple,párosít
half,fél
died,meghalt
cool,menő
free,ingyenes
either,bármelyik
seems,úgy tűnik
power,erő
whoa,hohó
bye,Viszlát
buy,megvesz
telling,sokatmondó
