"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","score1","score2","score3","score4","score5"
7,0.27,0.36,21.05,0.045,45,170,1.001,3,0.45,8.8,5,6,9,5,4
6.3,0.3,0.34,2.75,0.049,-,-,0.994,3.3,0.49,9.5,5,7,6,7,6
8.1,0.28,0.4,10.10,0.05,30,97,0.9951,3.26,0.44,10.1,7,7,7,6,7
7.2,0.23,0.32,9.93,0.058,47,186,0.9956,3.19,0.4,9.9,6,4,6,6,5
7.2,0.23,0.32,11.75,0.058,47,186,0.9956,3.19,0.4,9.9,7,7,5,5,5
8.1,0.28,0.4,8.27,0.05,30,-,0.9951,3.26,0.44,10.1,6,6,6,6,6
6.2,0.32,0.16,7.14,0.045,30,136,0.9949,3.18,0.47,9.6,4,7,8,6,6
7,0.27,0.36,20.85,0.045,45,170,1.001,3,0.45,8.8,4,5,7,7,7
6.3,0.3,0.34,3.50,0.049,14,-,0.994,3.3,0.49,9.5,6,7,4,5,4
8.1,0.22,0.43,3.96,0.044,28,129,0.9938,3.22,0.45,11,7,6,5,6,7
8.1,0.27,0.41,2.58,0.033,11,-,0.9908,2.99,0.56,12,5,4,3,5,4
8.6,0.23,0.4,4.88,0.035,17,109,0.9947,3.14,0.53,9.7,5,4,3,4,3
7.9,0.18,0.37,1.20,0.04,16,75,0.992,3.18,0.63,10.8,3,5,5,4,3
6.6,0.16,0.4,6.75,0.044,48,143,0.9912,3.54,0.52,12.4,9,9,7,7,7
8.3,0.42,0.62,20.00,0.04,-,-,1.0002,2.98,0.67,9.7,5,4,3,4,4
6.6,0.17,0.38,5.48,0.032,28,-,0.9914,3.25,0.55,11.4,8,9,8,8,8
6.3,0.48,0.04,1.54,0.046,30,-,0.9928,3.24,0.36,9.6,5,6,6,7,7
6.2,0.66,0.48,6.10,0.029,29,75,0.9892,3.33,0.39,12.8,9,9,9,9,9
7.4,0.34,0.42,2.54,0.033,17,171,0.9917,3.12,0.53,11.3,6,7,6,7,5
6.5,0.31,0.14,7.50,0.044,-,133,0.9955,3.22,0.5,9.5,3,4,3,4,4
6.2,0.66,0.48,8.66,0.029,29,-,0.9892,3.33,0.39,12.8,9,9,9,9,9
6.4,0.31,0.38,6.19,0.038,19,102,0.9912,3.17,0.35,11,8,6,9,9,8
6.8,0.26,0.42,8.02,0.049,41,-,0.993,3.47,0.48,10.5,9,9,9,8,8
7.6,0.67,0.14,1.94,0.074,25,-,0.9937,3.05,0.51,9.3,4,5,4,4,3
6.6,0.27,0.41,5.15,0.052,16,142,0.9951,3.42,0.47,10,8,7,7,6,4
7,0.25,0.32,10.80,0.046,56,245,0.9955,3.25,0.5,10.4,6,7,6,5,7
6.9,0.24,0.35,1.00,0.052,35,146,0.993,3.45,0.44,10,3,7,7,4,9
7,0.28,0.39,9.92,0.051,32,141,0.9961,3.38,0.53,10.5,5,6,7,5,6
7.4,0.27,0.48,5.42,0.047,17,132,0.9914,3.19,0.49,11.6,9,8,7,6,7
7.2,0.32,0.36,5.61,0.033,37,114,0.9906,3.1,0.71,12.3,8,7,9,9,6
8.5,0.24,0.39,13.12,0.044,-,142,0.9974,3.2,0.53,10,7,6,5,6,8
8.3,0.14,0.34,2.78,0.042,7,47,0.9934,3.47,0.4,10.2,6,4,6,5,4
7.4,0.25,0.36,3.29,0.05,31,100,0.992,3.19,0.44,10.8,5,7,7,8,5
6.2,0.12,0.34,4.90,0.045,43,-,0.9939,3.42,0.51,9,8,7,5,6,5
5.8,0.27,0.2,14.95,0.044,-,179,0.9962,3.37,0.37,10.2,2,3,4,4,3
7.3,0.28,0.43,2.24,0.08,21,123,0.9905,3.19,0.42,12.8,5,4,5,4,4
6.5,0.39,0.23,5.40,0.051,25,149,0.9934,3.24,0.35,10,3,5,4,3,5
7,0.33,0.32,2.14,0.053,38,-,0.9906,3.13,0.28,11.2,5,5,5,7,5
7.3,0.24,0.39,18.65,0.057,45,-,0.9999,3.21,0.36,8.6,5,3,4,4,4
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,4,4,3,5,3
6.7,0.23,0.39,4.57,0.172,63,158,0.9937,3.11,0.36,9.4,6,6,5,8,8
6.7,0.24,0.39,3.97,0.173,63,157,0.9937,3.1,0.34,9.4,5,6,7,6,5
7,0.31,0.26,8.73,0.069,-,160,0.9954,3.13,0.46,9.8,6,6,4,6,4
6.6,0.24,0.27,2.41,0.057,33,152,0.9934,3.22,0.56,9.5,5,7,7,7,6
6.7,0.23,0.26,2.41,0.06,33,-,0.9934,3.24,0.56,9.5,5,8,6,8,5
7.4,0.18,0.31,5.42,0.058,38,167,0.9931,3.16,0.53,10,8,9,7,7,8
6.2,0.45,0.26,4.40,0.063,63,206,0.994,3.27,0.52,9.8,1,3,1,2,2
6.2,0.46,0.25,5.98,0.066,-,-,0.9939,3.25,0.52,9.8,6,4,7,3,6
7,0.31,0.26,9.80,0.069,28,160,0.9954,3.13,0.46,9.8,7,8,7,5,8
6.9,0.19,0.35,5.00,0.067,32,150,0.995,3.36,0.48,9.8,4,4,3,4,5
